AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
RSA beta-lactamase	0.20345072	0.071018944	0.020123451	0.028002813	0.003157014	0.108031796	0.019819582	0.003007284	0.024637568	0.015627229	0.065091924	0.009572348	0.026907417
RSA2 beta-lactamase	0.293840882	0.054210113	0.03646878	0.034332528	0.015345426	0.112310963	0.01293132	0.01102207	0.027857235	0.01205406	0.038869535	0.007434944	0.057430533
RSD2 beta-lactamase	0.286656509	0.257235145	0.055247747	0.170027315	0.132731138	0.118186247	0.127077984	0.095801711	0.172131977	0.077158927	0.107983714	0.163738117	0.193526623
RUB beta-lactamase	0.864179843	0.383971839	1.187735936	1.16695295	1.736706303	1.696750434	1.018487692	0.561237036	0.800886457	0.423791822	0.806471321	1.323615574	0.610274459
Rm3 family beta-lactamase	0.023282979	0.007979621	0.024624329	0.014134233	0.018153998	0.029216125	0.013018385	0.006381565	0.010267304	0.014663115	0.096763312	0.009445702	0.027351585
SCO beta-lactamase	0.221587945	0.127325798	0.066460968	0.167276122	0.292161246	0.153809806	0.071937646	0.054522924	0.198563015	0.203291728	0.086243362	0.156946	0.084450127
SFC beta-lactamase	0.0726718	0.009021851	0.031769496	0.015627229	0	0.031037614	0.00141618	0	0.007989631	0.004106827	0.111360025	0.004735521	0.012890157
SFH beta-lactamase	0.063754413	0.063538992	0.050278912	0.068949223	0.037129108	0.059479554	0.054375718	0.042611367	0.05667421	0.058610539	0.046960585	0.061995519	0.073272393
SFO beta-lactamase	0.051868565	0.009512227	0.030858394	0.010442562	0.020888653	0.062318238	0.04172363	0.013963211	0.039073693	0.016968951	0.025166498	0.028227889	0.016239332
SGM beta-lactamase	0.870368735	0.348603417	0.207110804	0.402195079	0.730711894	1.043090744	0.325671364	0.351012009	0.317279917	0.425375196	0.631223649	0.175926093	0.531004435
SHD beta-lactamase	0.203954696	0.047571669	0.025491237	0.087367726	0.051488735	0.091171554	0.041027378	0.015390444	0.057084983	0.053452811	0.041801243	0.033714567	0.065906142
